book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,description
142,5043,5043,3359698,255,451207149,9780451207140,1989,"The Pillars of the Earth","The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517,495893,"may afternoon army air force bomber crashed pacific ocean disappeared leaving spray debris slick oil gasoline blood ocean surface face appeared young lieutenant plane bombardier struggling life raft pulling aboard began one extraordinary odyssey second world lieutenant name louis zamperini boyhood cunning incorrigible delinquent breaking house brawling fleeing home ride rail teenager channeled defiance running discovering prodigious talent carried berlin olympics within sight mile war come athlete become airman embarking journey led doomed flight tiny raft drift zamperini lay thousand mile open ocean leaping shark foundering raft thirst starvation enemy aircraft beyond trial even greater driven limit endurance zamperini would answer desperation ingenuity suffering hope resolve humor brutality rebellion fate whether triumph tragedy would suspended fraying wire"
143,18143977,18143977,25491300,139,1476746583,9781476746590,2014,NULL,"All the Light We Cannot See",eng,4.31,470001,547827,"shocking scientific discovery conspiracy staggering brilliance thriller unlike ever read nasa satellite discovers astonishingly rare object buried deep arctic ice floundering space agency proclaims victory profound implication nasa policy impending presidential election verify authenticity find white house call upon skill intelligence analyst rachel sexton accompanied team expert including charismatic scholar michael tolland rachel travel arctic uncovers unthinkable evidence scientific bold deception threatens plunge world controversy warn president rachel michael ambushed deadly team assassin fleeing life across desolate lethal landscape hope survival discover behind masterful plot truth learn shocking deception"
144,8664353,8664353,12946965,16,1400064163,9781400064170,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,528552,"winner pulitzer prize fiction thirteen theo decker son devoted mother reckless largely absent father survives accident otherwise tear life apart alone rudderless new york taken family wealthy friend tormented unbearable longing mother year cling thing reminds small strangely captivating painting ultimately draw criminal underworld grows theo learns glide drawing room rich dusty antique store work alienated love talisman painting place centre narrowing ever dangerous goldfinch haunted odyssey america drama enthralling power combining unforgettably vivid character thrilling suspense beautiful addictive triumph sweeping story loss obsession survival deepest mystery love identity fate"
145,976,976,3135896,180,671027387,9780671027380,2001,"Deception Point","Deception Point",eng,3.67,455610,479733,"stop future rewind way learn secret press jensen return home school find strange package name lying porch inside discovers several cassette tape recorded hannah classmate committed suicide two week earlier hannah voice tell thirteen reason decided end life clay one listens find clay spends night crisscrossing town hannah guide becomes firsthand witness hannah pain follows hannah recorded word throughout town discovers change life forever"
146,17333223,17333223,24065147,108,316055433,9780316055440,2013,"The Goldfinch","The Goldfinch",eng,3.87,396756,463847,"precisely canvas credit dutch painter johannes vermeer represents one great enigma art meager fact biography gleaned handful legal document yet vermeer extraordinary painting domestic life subtle play light texture come define dutch golden age portrait anonymous girl pearl earring exerted particular fascination magnetic painting lie heart tracy chevalier second novel pearl earring center vermeer prosperous delft household griet novel quietly perceptive heroine hired servant turmoil follows first narrator becomes increasingly intimate master vermeer employ ultimately griet sit model"
147,1217100,29844228,2588213,150,1595141715,9781595141710,2007,"Thirteen Reasons Why","Thirteen Reasons Why",eng,4.02,463783,571281,"blink eye everything change seventeen mia memory accident recall happened afterwards watching damaged body taken wreck little little struggle put together figure lost left difficult choice must make heartwrenchingly beautiful change way look life love family major motion picture starring chloe grace moretz mia story stay long long time"
148,2865,2865,3358875,169,452287022,9780452287020,1999,"Girl with a Pearl Earring","Girl with a Pearl Earring",eng,3.85,467577,492177,"name dinah bible life hinted brief violent detour within familiar chapter book genesis father jacob dozen son told dinah voice novel reveals tradition turmoil ancient world red tent begin story rachel zilpah four wife jacob love dinah give gift sustain youth calling midwifery new home foreign land dinah story reach remarkable period early history creates intimate connection past deeply affecting red tent combine rich storytelling valuable achievement modern fiction new view biblical woman society"
149,4374400,4374400,4422413,130,525421033,9780525421030,2009,"If I Stay","If I Stay (If I Stay, #1)",eng,3.96,503527,567087,"heroic son poseidon make comeback second installment rick riordan amazing young reader series starring percy jackson half blood whose mother human whose father god sea riordan series combine cliffhanger adventure greek mythology lesson result true get better episode sea monster percy set retrieve golden fleece summer camp destroyed surpassing first book drama setting stage thrill come"
150,4989,4989,1041558,80,312353766,9780312353770,1997,"The Red Tent","The Red Tent",eng,4.16,424981,449217,"angry rebel john dropped school enlisted army knowing else life meet girl dream savannah mutual attraction quickly grows kind love leaf savannah waiting john finish tour duty john wanting settle woman captured heart change everything john feel duty sadly long separation find savannah falling love someone else dear john letter read two word heart broken two life changed forever returning home john must come grip fact savannah married still true face hardest decision life"
151,28186,28186,43554,121,786856866,9780786856860,2006,"The Sea of Monsters","The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,550512,"also see alternate cover edition isbn ace ace clary fray wish life would go back normal normal shadowhunter mother magically induced coma suddenly see downworlders like werewolf vampire faery clary left world shadowhunters behind would mean time best friend simon becoming friend shadowhunting world ready let go especially handsome infuriating newfound brother jace clary chance help mother track rogue shadowhunter valentine probably insane certainly evil also complicate matter someone new york city murdering downworlder child valentine behind killing trying second mortal instrument stolen terrifying inquisitor arrives investigate zoom right jace clary stop valentine jace willing betray everything belief help father breathtaking sequel city bone cassandra clare lure reader back dark grip new york city downworld love never safe power becomes deadliest temptation"
152,5526,5526,3222389,111,446528056,9780446528050,2006,"Dear John","Dear John",eng,4.01,441062,454781,"one night heath brave respected general macbeth encounter three witch foretell become king scotland first sceptical urged ruthless ambition lady macbeth suffers none husband doubt seeing prophecy bloody end lead spiralling paranoia tyranny madness shocking tragedy violent caution seeking power sake day one shakespeare popular influential masterpiece"
153,1582996,1582996,1575860,125,1416914293,9781416914300,2008,"City of Ashes","City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117,586008,"two tower book two tolkien acclaimed trilogy masterpiece high fantasy frodo companion ring beset danger quest prevent ruling ring falling hand dark lord destroying crack doom lost wizard gandalf battle mine moria boromir seduced power ring tried seize force frodo sam made escape rest company attacked orcs continue journey alone great river anduin alone save mysterious creeping figure follows wherever go"
154,8852,8852,1896522,1732,743477103,9780743477110,1606,"The Tragedy of Macbeth",Macbeth,eng,3.88,496018,524826,"something borrowed tell story rachel young attorney living working manhattan rachel always consummate good thirtieth birthday best friend darcy throw party night many drink rachel end bed darcy fiancé although wake determined put fling behind rachel horrified discover genuine feeling one guy run september wedding date nears rachel know make choice discovers line right wrong blurry ending always neat sometimes risk win true happiness something borrowed phenomenal debut novel laughing cry calling best friend"
155,15241,15241,2963845,453,618346260,9780618346260,1954,"The Two Towers","The Two Towers (The Lord of the Rings, #2)",eng,4.42,480446,532209,"like green egg ham asks beginner book seuss house mouse boat goat train tree sam keep asking persistently unmistakable character signature rhyme seuss beloved favorite cemented place child classic famous cumulative tale list place enjoy green egg ham friend enjoy get longer longer follow insists unusual treat indeed delectable snack savored everywhere every way originally created seuss beginner book encourage child read simple word illustration give clue meaning"
156,42156,42156,1789440,65,031232118X,9780312321180,2004,"Something Borrowed","Something Borrowed (Darcy & Rachel, #1)",eng,3.83,403601,435189,"charlie bucket wonderful adventure begin find one willy wonka precious golden ticket win whole day inside mysterious chocolate factory little know surprise store back cover"
157,23772,23772,86934,72,394800168,9780394800160,1960,"Green Eggs and Ham","Green Eggs and Ham",eng,4.29,457475,461041,"percy jackson expecting freshman orientation fun mysterious mortal acquaintance appears potential new school followed demon cheerleader thing quickly move bad fourth installment blockbuster series time running war olympian evil titan lord kronos draw near even safe camp grows vulnerable minute kronos army prepares invade impenetrable border stop invasion percy demigod friend must set quest labyrinth sprawling underground world stunning surprise every turn"
158,6310,6310,2765786,338,142403881,9780142403880,1964,"Charlie and the Chocolate Factory","Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959,494747,"great expectation chart progress pip childhood often painful experience adulthood move kent marsh busy commercial london encountering variety extraordinary character ranging magwitch escaped convict miss havisham locked unhappy past living ward arrogant beautiful must discover true self set value priority whether value allow one prosper complex world early victorian england major question posed great expectation one dickens fascinating disturbing edition includes original discarded ending dickens brief working note serial instalment chapter division different edition also us definitive clarendon text"
159,2120932,2120932,2377629,92,1423101464,9781423101470,2008,"The Battle of the Labyrinth","The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214,537708,"alternate cover edition companion ring become involved separate adventure quest continues aragorn revealed hidden heir ancient king west joined rider rohan force isengard took part desperate victory hornburg merry pippin captured orcs escaped fangorn forest encountered ents gandalf returned miraculously defeated evil wizard saruman meanwhile sam frodo progressed towards mordor destroy ring accompanied smeagol gollum still obsessed battle giant spider shelob sam left master dead frodo still alive hand orcs time army dark lord massing tolkien great work imaginative fiction labeled heroic romance classic fantasy fiction turn comic homely epic diabolic narrative move countless change scene character imaginary world totally convincing detail"
160,2623,2623,2612809,1725,192833596,9780192833590,1860,"Great Expectations","Great Expectations",eng,3.75,459247,507187,"published french author albert camus stranger long considered classic literature le monde rank number one book century list story ordinary man unwittingly drawn senseless murder sundrenched algerian beach camus explores termed nakedness man faced absurd"
161,18512,18512,2964424,470,345339738,9780345339740,1955,"The Return of the King","The Return of the King (The Lord of the Rings, #3)",eng,4.51,463959,510537,"jason problem remember anything waking bus full kid field trip apparently girlfriend named piper best friend guy named leo student wilderness school boarding school bad kid leo put jason end exactly jason know everything seems secret father missing three day ever since terrifying nightmare trouble piper understand dream boyfriend suddenly recognize freak storm hit school trip unleashing strange creature whisking jason leo away someplace called camp feeling going find whether want way tool see cabin camp filled power tool machine part feel right home weird stuff curse everyone keep talking camper gone missing weirdest bunkmate insist related god anything jason amnesia fact leo keep seeing ghost join new old friend camp thrilling first book hero olympus series author rick riordan pumped action humor suspense mystery epic adventure leave reader panting next installment"
162,49552,49552,3324344,675,NULL,NULL,1942,L’Étranger,"The Stranger",eng,3.96,420600,483623,"bono met wife high school park jerry lee lewis eleanor kidding say romeo juliet shallow confused love park wherefore art thou eleanor kidding set one school year eleanor park story two misfit smart enough know first love almost never last brave desperate enough try"
163,7736182,7736182,10107891,72,142311339X,9781423113390,2010,"The Lost Hero","The Lost Hero (The Heroes of Olympus, #1)",eng,4.35,271576,489495,"crow fight dead man flesh kill treacherous cunning lannisters power iron throne name tommen war seven kingdom burned bitter aftermath new conflict spark martells dorne starks winterfell seek vengeance dead euron crow eye black pirate ever raised sail return smoking ruin valyria claim iron isle icy north others threaten wall apprentice maester samwell tarly brings mysterious babe arm backdrop incest fratricide alchemy murder victory go men woman possessed coldest steel coldest heart"
164,15745753,15745753,17225055,103,1250012570,9781250012580,2013,"Eleanor & Park","Eleanor & Park",eng,4.11,514312,579753,"society official decide love work always trusted choice hardly price pay long life perfect job ideal mate best friend appears matching screen cassia know complete certainty see another face flash instant screen fade black cassia faced impossible choice xander ky life known path one else ever dared perfection story right storytelling resonance classic"
165,13497,13497,1019062,176,055358202X,9780553582020,2005,"A Feast for Crows","A Feast for Crows (A Song of Ice and Fire, #4)",eng,4.1,428186,481130,"day release prison shadow wife laura dy mysterious car crash numbly make way back home plane encounter enigmatic mr wednesday claim refugee distant war former god king america together embark profoundly strange journey across heart usa whilst around storm preternatural epic proportion threatens gripping deeply unsettling american god take long hard look soul america surprised find author preferred text never published uk word longer previous uk edition"
166,7735333,7735333,9631645,84,525423648,9780525423640,2010,Matched,"Matched (Matched, #1)",eng,3.68,511815,530680,"first came day plague came dream dark dream warned coming dark man apostate death boot heel tramping night road warlord charnel house prince evil time hand empire grows west apocalypse hundred thousand fan read stand original version wanted new edition stephen king gift listening stand first time discover triumphant eerily plausible work imagination take issue determine survival"
167,4407,30165203,1970226,196,747263744,9780747263750,2001,"American Gods","American Gods (American Gods, #1)",eng,4.11,378019,518343,"alternate cover edition found veronica miller life turned parent divorced father moved new york city wilmington north carolina three year later remains angry alienated parent especially father mother decides would everyone best interest spent summer wilmington ronnie father former concert pianist teacher living quiet life beach town immersed creating work art become centerpiece local church tale unfolds unforgettable story love myriad form first love love parent child demonstrates nicholas spark novel many way deeply felt relationship break heart heal"
168,149267,149267,1742269,195,385199570,9780385199580,1978,"The Stand","The Stand",eng,4.34,438832,469953,"national security agency invincible machine encounter mysterious code break agency call head cryptographer susan fletcher brilliant beautiful mathematician uncovers sends shock wave corridor power nsa held hostage gun bomb code ingeniously complex released would cripple accelerating tempest secrecy lie susan fletcher battle save agency belief betrayed side find fighting country life end life man love back cover"
169,6400090,6400090,6588800,95,446547565,9780446547570,2008,"The Last Song","The Last Song",eng,4.14,424637,438429,"alternative cover isbn found woodhouse one austen captivating vivid character beautiful spoilt vain irrepressibly witty emma organizes life inhabitant sleepy little village play matchmaker devastating effect"
170,11125,11125,40195,185,552151696,9780552151700,1998,"Digital Fortress","Digital Fortress",eng,3.6,423019,447503,"acclaimed many world greatest novel anna karenina provides vast panorama contemporary life russia humanity general tolstoy us intense imaginative insight create memorable character literature anna sophisticated woman abandon empty existence wife karenin turn count vronsky fulfil passionate nature tragic consequence levin reflection tolstoy often expressing author view tolstoy point moral merely inviting u judge watch rosemary edmonds comment leaf shifting pattern kaleidoscope bring home meaning brooding word following title mine repay"
171,6969,6969,3360164,1710,141439580,9780141439590,1815,Emma,Emma,eng,3.99,459826,497949,"vicious droog central character classic anthony burgess nightmare vision future criminal take dark story told central character alex talk brutal invented slang brilliantly render friend social pathology clockwork orange frightening fable good evil meaning human freedom state undertakes reform alex redeem novel asks cost edition includes controversial last chapter published first edition burgess introduction clockwork orange resucked"
172,15823480,15823480,2507928,1492,345803922,9780345803920,1877,"Анна Каренина","Anna Karenina",eng,4.02,297472,472796,"mackenzie allen philip youngest daughter missy abducted family vacation evidence may brutally murdered found abandoned shack deep oregon wilderness four year later midst great sadness mack receives suspicious note apparently god inviting back shack weekend better judgment arrives shack wintry afternoon walk back darkest nightmare find change mack world world religion seems grow increasingly irrelevant shack wrestle timeless question god world filled unspeakable pain answer mack get astound perhaps transform much want everyone know read book"
173,227463,227463,23596,283,393312836,9780393312840,1962,"A Clockwork Orange","A Clockwork Orange",eng,3.98,431195,454391,"year preparing battle titan knowing odds victory grim kronos army stronger ever every god recruit evil titan power olympian struggle contain rampaging monster typhon kronos begin advance new york city mount olympus stand virtually unguarded percy jackson army young demigod stop lord time momentous final book new york time series prophecy surrounding percy sixteenth birthday unfolds battle western civilization rage street manhattan percy face terrifying suspicion may fighting fate"
174,1812457,1812457,2666268,134,964729237,9780964729230,2007,"The Shack: Where Tragedy Confronts Eternity","The Shack",eng,3.74,419539,438292,"child town whole world adult knowing better derry maine hometown familiar good place live child saw felt made derry horribly different storm drain sewer lurked taking shape every nightmare person deepest dread sometimes reached seizing tearing killing adult knowing better knew nothing time passed child grew moved away horror wrapped forgetfulness child called back confront stirred coiled sullen depth memory reaching make past nightmare terrible present reality"
175,4502507,4556058,4551489,87,739380338,9780739380340,2009,"The Last Olympian","The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,397500,499510,"raskolnikov destitute desperate former student wanders slum st petersburg commits random murder without remorse regret imago great man napoleon acting higher purpose beyond conventional moral law embarks dangerous game cat mouse suspicious police investigator raskolnikov pursued growing voice conscience find noose guilt tightening around neck sonya downtrodden sex worker offer chance redemption"
176,18342,830502,150259,7,451169514,9780451169520,1986,It,It,eng,4.18,292592,479381,"bell jar chronicle esther greenwood brilliant beautiful enormously talented successful slowly going last time sylvia plath masterfully draw reader esther breakdown intensity esther insanity becomes completely real even rational probable accessible experience going movie deep penetration dark harrowing corner psyche extraordinary accomplishment made bell jar haunting american classic"
177,7144,7144,3393917,1714,143058142,9780143058140,1866,"Преступление и наказание","Crime and Punishment",eng,4.18,380903,444675,"imbued every page frank mccourt astounding humor compassion glorious book bear mark classic look back childhood wonder managed survive course miserable childhood happy childhood hardly worth worse ordinary miserable childhood miserable irish childhood worse yet miserable irish catholic childhood begin pulitzer prize winning memoir frank mccourt born brooklyn recent irish immigrant raised slum limerick ireland frank mother angela money feed child since frank father malachy rarely work drink wage yet irresponsible nurture frank appetite one thing provide story frank life father tale cuchulain saved ireland angel seventh step brings mother baby perhaps story account frank survival wearing rag diaper begging pig head christmas dinner gathering coal roadside light fire frank endures poverty casual cruelty relative life tell tale eloquence exuberance remarkable forgiveness angela ash imbued every page frank mccourt astounding humor compassion glorious book bear mark classic"
178,6514,6514,1385044,246,61148512,9780061148510,1963,"The Bell Jar","The Bell Jar",eng,3.98,401605,442157,"herman hesse classic novel delighted inspired influenced generation reader writer thinker story wealthy indian brahmin cast life privilege seek spiritual fulfillment hesse synthesizes disparate philosophy eastern religion jungian archetype western individualism unique vision life expressed one man search true meaning"
179,252577,252577,2883783,184,7205236,9780007205230,1996,"Angela's Ashes: A Memoir","Angela's Ashes (Frank McCourt, #1)",eng,4.07,392103,419746,"november small town holcomb kansa four member clutter family savagely murdered blast shotgun held inch face apparent motive crime almost clue truman capote reconstructs murder investigation led capture trial execution killer generates mesmerizing suspense astonishing empathy cold blood work transcends moment yielding poignant insight nature american violence"
180,52036,52036,4840290,972,553208845,9780553208850,1922,Siddhartha,Siddhartha,eng,3.99,372099,418653,"lena duchannes unlike anyone small southern town gatlin ever seen struggling conceal power curse haunted family generation even within overgrown garden murky swamp crumbling graveyard forgotten south secret stay hidden wate counting month escape gatlin haunted dream beautiful girl never met lena move town oldest infamous plantation ethan inexplicably drawn determined uncover connection town surprise one secret could change everything"
181,168642,168642,1940709,223,679745580,9780679745590,1965,"In Cold Blood","In Cold Blood",eng,4.05,381652,401839,"time shadowhunters barely winning fight force darkness one battle change course history forever welcome infernal device trilogy stunning dangerous prequel new york time bestselling mortal instrument year tessa gray descends london dark supernatural underworld search missing brother soon discovers ally jem mysterious boy attracted soon find pandemonium club secret organization vampire demon warlock human equipped magical army unstoppable clockwork creature club rule british empire tessa ally stop"
182,6304335,6304335,6488966,119,316042676,9780316042670,2009,"Beautiful Creatures","Beautiful Creatures (Caster Chronicles, #1)",eng,3.76,436093,458518,"trunchbull match matilda matilda little girl far good true age knocking multiplication problem dickens even remarkably classmate love even though teacher pet everything perfect matilda world starter two idiotic parent ever lived large busty nightmare school principal miss trunchbull former champion fling child approximately sympathetic bulldozer fortunately matilda inner resource deal annoyance astonishing intelligence saintly patience innate predilection revenge roald dahl spy ace chocolate historian medical inventor also author charlie chocolate factory matilda bfg many brilliant story remains world storyteller"
183,7171637,7171637,6674837,103,1416975861,9781416975860,2010,"Clockwork Angel","Clockwork Angel (The Infernal Devices, #1)",eng,4.33,490890,515759,"circus arrives without warning announcement precede simply yesterday within striped canvas tent utterly unique experience full breathtaking amazement called le cirque de rêves open night behind scene fierce competition duel two young magician celia marco trained since childhood expressly purpose mercurial instructor unbeknownst game one left standing circus stage remarkable battle imagination despite however celia marco tumble headfirst deep magical love make light flicker room grow warm whenever much brush hand true love game must play fate everyone involved cast extraordinary circus performer patron hang balance suspended precariously daring acrobat overhead written rich seductive prose novel feast sens heart"
184,39988,39988,1015554,242,141301066,9780141301070,1988,Matilda,Matilda,eng,4.29,440743,463491,"alternate cover edition isbn sister competing greatest prize love kingwhen mary boleyn come court innocent girl fourteen catch eye henry viii dazzled mary fall love golden prince growing role unofficial queen however soon realises much pawn family ambitious plot king interest begin wane forced step aside best friend rival sister anne mary know must defy family king take fate rich compelling novel love sex ambition intrigue boleyn girl introduces woman extraordinary determination desire lived heart exciting glamourous court europe survived following heart"
185,9361589,9361589,14245059,119,385534639,9780385534640,2011,"The Night Circus","The Night Circus",eng,4.03,429543,474826,"tally turn sixteen ca wait week operation turn repellent ugly stunning pretty pretty catapulted paradise job tally new friend shay sure want become pretty shay run away tally learns whole new side pretty pretty authority offer tally choice find friend turn never turn pretty tally choice change world forever"
186,37470,37470,3248536,111,743227441,9780743227440,2001,"The Other Boleyn Girl","The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng,4.04,381080,399223,"alternate cover edition asin aftermath colossal battle future seven kingdom hang newly emerging threat every direction east daenerys targaryen last scion house targaryen rule three dragon queen city built dust death daenerys thousand enemy many set find gather one young man embarks upon quest queen entirely different goal westeros price head tyrion lannister making way daenerys newest ally quest band seem heart lie one could undo daenerys claim westeros north lie mammoth wall ice structure strong guarding jon snow lord commander night watch face greatest challenge powerful foe within watch also beyond land creature corner bitter conflict reignite intimate betrayal perpetrated grand cast outlaw priest soldier skinchangers noble slave face seemingly insurmountable obstacle fail others grow strength darkness time rising restlessness tide destiny politics lead inevitably greatest dance"
187,24770,24770,2895388,98,689865384,9780689865380,2005,Uglies,"Uglies (Uglies, #1)",eng,3.86,449073,464589,"one ring rule one ring find one ring bring darkness bind themin ancient time ring power crafted sauron dark lord forged one ring filling power could rule others one ring taken though sought throughout remained lost many age fell chance hand hobbit bilbo sauron fastness dark tower mordor power spread far wide sauron gathered great ring always searched one ring would complete bilbo reached birthday disappeared bequeathing young cousin frodo ruling ring perilous quest journey across deep shadow dark lord destroy ring casting crack lord ring tell great quest undertaken frodo fellowship ring gandalf wizard hobbit merry pippin sam gimli dwarf legolas elf boromir gondor tall mysterious stranger called strider"
188,10664113,10664113,2936175,115,NULL,NULL,2011,"A Dance with Dragons","A Dance with Dragons (A Song of Ice and Fire, #5)",eng,4.31,365954,424618,"alternate cover isbn found cheryl strayed thought lost everything wake mother death family scattered marriage soon destroyed four year later nothing lose made impulsive decision life experience training driven blind would hike thousand mile pacific crest trail mojave desert california oregon washington state would suspense style sparkling warmth humor wild powerfully capture terror pleasure one young woman forging ahead odds journey maddened strengthened ultimately healed"
189,33,33,3462456,380,618640150,9780618640160,1955,"The Lord of the Rings","The Lord of the Rings (The Lord of the Rings, #1-3)",eng,4.47,389054,436346,"hugo graphic novel chronicle fall grace group plagued failing along way concept dissected hero stalked unknown influential graphic novel time perennial watchman studied college campus across nation considered gateway title leading reader graphic novel v vendetta batman dark knight return sandman series"
190,12262741,12262741,17237712,101,307592731,9780307592740,2012,"Wild: From Lost to Found on the Pacific Crest Trail ","Wild: From Lost to Found on the Pacific Crest Trail",eng,3.96,379872,420903,"told kvothe voice tale magically gifted young man grows notorious wizard world ever seen intimate narrative childhood troupe traveling player year spent orphan city daringly brazen yet successful bid enter legendary school magic life fugitive murder king form gripping story unrivaled recent literature story written poet hand name wind masterpiece transport reader body mind wizard"
191,472331,472331,4358649,90,930289234,9780930289230,1987,Watchmen,Watchmen,eng,4.35,398018,409323,"learn set high achiever apart bill gate beatles bestseller singular talent new york time book review stunning book malcolm gladwell take u intellectual journey world outlier best brightest famous successful asks question make different answer pay much attention successful people like little attention culture family generation idiosyncratic experience upbringing along way explains secret software billionaire take great soccer player asian good math made beatles greatest rock entertaining outlier landmark work simultaneously delight illuminate"
192,186074,186074,2502879,123,075640407X,9780756404080,2007,"The Name of the Wind","The Name of the Wind (The Kingkiller Chronicle, #1)",eng,4.55,400101,449372,"horrible texture fabric woven ship cable hawser polar wind blow bird prey hover melville wrote masterpiece one greatest work imagination literary history part story eerily compelling madman pursuing unholy war creature vast dangerous unknowable sea novel adventure encyclopaedia whaling lore legend book seen part author lifelong meditation america written wonderfully redemptive humour also profound inquiry character faith nature edition reproduces definitive text novel includes invaluable explanatory note along map illustration glossary nautical term"
193,3228917,3228917,3364437,120,316017922,9780316017920,2008,"Outliers: The Story of Success","Outliers: The Story of Success",eng,4.11,353011,369126,"remarkable tale island guernsey german occupation society extraordinary treat book please recommend highly elizabeth gilbert author eat pray love wonder book got guernsey perhaps sort secret homing instinct book brings perfect january london emerging shadow second world war writer juliet ashton looking next book subject could imagine would find letter man never met native island guernsey come across name written inside book charles lamb juliet new correspondent exchange letter juliet drawn world man friend wonderfully eccentric world guernsey literary potato peel pie society born alibi member discovered breaking curfew german occupying island boast charming funny deeply human cast character pig farmer phrenologist literature lover juliet begin remarkable correspondence society member learning island taste book impact recent german occupation life captivated story set sail guernsey find change forever written warmth humor series letter novel celebration written word guise finding connection surprising guernsey literary potato peel society jewel poignant keenly observed guernsey small masterpiece love war immeasurable sustenance found good book good people delight implicit sometimes explicit paean thing chicago sparkling epistolary novel radiating wit lightly worn erudition written great assurance sunday time london cooked perfectly à point subtle elegant flavour yet emotionally satisfying time london"
194,153747,153747,2409320,1823,142437247,9780142437250,1851,"Moby Dick; or, The Whale","Moby-Dick or, The Whale",eng,3.46,358050,397963,"follows experience unnamed protagonist struggling insomnia inspired doctor exasperated remark insomnia suffering protagonist find relief impersonating seriously ill person several support group meet mysterious man named tyler durden establishes underground fighting club radical psychotherapy"
195,2728527,2728527,2754161,116,385340990,9780385340990,2008,"The Guernsey Literary and Potato Peel Pie Society","The Guernsey Literary and Potato Peel Pie Society",eng,4.12,393626,423672,"sookie stackhouse cocktail waitress louisiana vampire dream walk one coworkers check maybe vampire boyfriend bright idea"
196,5759,5759,68729,162,393327345,9780393327340,1996,"Fight Club","Fight Club",eng,4.2,365349,388654,"set deep american south war color purple classic tale celie young black girl born poverty segregation raped repeatedly man call two child taken away separated beloved sister nettie trapped ugly marriage meet glamorous shug avery singer woman taken charge destiny gradually celie discovers power joy spirit freeing past reuniting love"
197,301082,301082,479517,109,441008534,9780441008540,2001,"Dead Until Dark","Dead Until Dark (Sookie Stackhouse, #1)",eng,3.96,420764,444824,"john jenny young deeply love perfect little house care world brought home marley wiggly yellow furball puppy life would never quickly grew uncontrollable steamroller labrador retriever expelled obedience school even tranquilliser prescribed vet could stop chaos hilarity heart remained steadfast model devotion family even wit end unconditional love would learn come many form"
198,11486,11486,3300573,155,671727796,9780671727800,1982,"The Color Purple","The Color Purple",eng,4.17,376766,400965,"first curious assortment stranger summoned weekend guest little private island coast devon host eccentric millionaire unknown nowhere found guest common wicked past unwilling secret seal fate marked murder famous nursery rhyme framed hung every room mansion ten little boy went dine one choked little self nine nine little boy sat late one overslept eight eight little boy traveling devon one said stay seven seven little boy chopping stick one chopped half six six little boy playing hive bumblebee stung one five five little boy going law one got chancery four four little boy going sea red herring swallowed one three three little boy walking zoo big bear hugged one two two little boy sitting sun one got frizzled one one little boy left alone went hanged none realize murder occurring described rhyme terror mount one one fall prey weekend none choreographed dastardly scheme left tell tale dead suspicion"
199,12691,12691,14961,119,739461192,9780739461200,2005,"Marley & Me: Life and Love with the World's Worst Dog","Marley and Me: Life and Love With the World's Worst Dog",eng,4.12,367304,379348,"lost foundin stunning global phenomenon da vinci code dan brown demonstrates world popular thriller writer lost symbol masterstroke storytelling deadly race labyrinth code secret unseen truth watchful eye brown terrifying villain date set within hidden chamber tunnel temple washington lost symbol accelerates startling landscape toward unthinkable story open harvard symbologist robert langdon summoned unexpectedly deliver evening lecture capitol building within minute arrival however night take bizarre turn disturbing object artfully encoded five symbol discovered capitol building langdon recognizes object ancient invitation one meant usher recipient world esoteric langdon beloved mentor peter solomon prominent mason philanthropist brutally kidnapped langdon realizes hope saving peter accept mystical invitation follow wherever lead langdon instantly clandestine world masonic secret hidden history location seem dragging toward single inconceivable world discovered da vinci code angel demon dan brown novel brilliant tapestry veiled history arcane symbol enigmatic code new novel challenge reader intelligent story offer surprise every turn lost symbol exactly brown fan waiting thrilling novel yet jacket"
200,16299,16299,3038872,474,312330871,9780312330870,1939,"Ten Little Niggers","And Then There Were None",eng,4.23,408983,456680,"sacred oatha fallen angela forbidden loveromance part nora grey plan never particularly attracted boy school matter hard best friend vee push patch come along easy smile eye seem see inside patch draw nora better series terrifying encounter nora sure trust patch seems everywhere seems know closest friend ca decide whether fall arm run hide try seek answer find near truth way unsettling anything patch make right middle ancient battle immortal fallen come choosing side wrong choice cost nora life"
